address,bank_name,sell_course,buy_course,lat,lon
"г. Минск, ул. Московская, 14",Банк ВТБ (Беларусь),2.89,2.914,53.888775560275,27.538564865745
"г. Минск, ул. Гикало, 3",Банк ВТБ (Беларусь),2.89,2.914,53.916078090111,27.587845944404
"г. Минск, пр-т Независимости, 93",Банк ВТБ (Беларусь),2.89,2.914,53.924411007886,27.612656482803
"г. Минск, ул. Николы Теслы, д. 20",Банк ВТБ (Беларусь),2.89,2.914,53.868388066341,27.546016175266
"г. Минск, ул. Притыцкого, 91",Банк ВТБ (Беларусь),2.89,2.914,53.905660290015,27.441811514409
"г. Минск, пр-т Независимости, 202",Банк ВТБ (Беларусь),2.89,2.914,53.952324328667,27.715100874762
"г. Минск, пр-т Независимости, 168/2",Банк ВТБ (Беларусь),2.89,2.914,53.945203670705,27.690330525131
"г. Минск, пр-т Дзержинского, 119",Банк ВТБ (Беларусь),2.89,2.914,53.851097283387,27.476675509583
"г. Минск, ул. Притыцкого, 156-32 в ТЦ GreenCity",Банк ВТБ (Беларусь),2.89,2.914,53.908700623941,27.430503901447
"г. Минск, ул. Притыцкого, д.156-32 (ТЦ GreenCity)",Банк ВТБ (Беларусь),2.89,2.914,53.909524147734,27.431319292988
"Минский р-н, Боровлянский с/с, д. 74/1, район д. Боровая (ТРЦ""Экспобел"")",Банк ВТБ (Беларусь),2.89,2.914,53.963160266557,27.624038220901
"г.Минск, Тимирязева ул., 67",БСБ Банк,2.9,2.914,53.925193,27.50835
"г.Минск, П. Глебки ул., 5",БСБ Банк,2.9,2.914,53.908576,27.469576
"г.Минск, П. Глебки ул., 5",БСБ Банк,2.9,2.914,53.908576,27.469576
"г. Минск, ул. Притыцкого, 93 (магазин Алми)",Банк РРБ,2.895,2.914,53.905917,27.439849
"г. Минск, ул. Братская, 18 (ТОЦ Авиа Молл)",Банк РРБ,2.895,2.914,53.867023,27.548563
"г. Минск, пр. Дзержинского, 1Е",Альфа Банк,2.88,2.915,53.892232895921,27.529246703705
"г. Минск, ул. Красноармейская, 36,Вход по паспорту",Альфа Банк,2.88,2.915,53.89196368324,27.579044644843
"г. Минск, Минский р-н, д.Цна, ул.Юбилейная, 4,(BMW)",Альфа Банк,2.88,2.915,53.972269472729,27.58902965575
"г. Минск, пр. Независимости, 198",Альфа Банк,2.88,2.915,53.951294745798,27.710822250342
"г. Минск, ул. Нестерова, 49",Альфа Банк,2.88,2.915,53.883782635365,27.681458362333
"г. Минск, ул. Космонавтов, 28",Альфа Банк,2.88,2.915,53.849923996002,27.455681368477
"г. Минск, Некрасова, 3а",Альфа Банк,2.88,2.915,53.929999558713,27.595662500243
"г. Минск, ул. Голубева, 24а",Альфа Банк,2.88,2.915,53.867843319384,27.465003640726
"г. Минск, ул.Скрипникова, 15а",Альфа Банк,2.88,2.915,53.891390596592,27.420875938013
"г. Минск, пр. Победителей, 65",Альфа Банк,2.88,2.915,53.926723178148,27.516763961452
"г. Минск, ул. Рафиева, 56",Альфа Банк,2.88,2.915,53.864463411708,27.448137910441
"г. Минск, ул. Жиновича.7",Альфа Банк,2.88,2.915,53.920656342866,27.448223741129
"г. Минск, ул. Хмаринская, д.8,(Hyundai)",Альфа Банк,2.88,2.915,53.970690581188,27.577328633226
"г. Минск, ул. Козлова, 2",Альфа Банк,2.88,2.915,53.909922644798,27.578290893724
"г. Минск, ул. Денисовская,8",Альфа Банк,2.88,2.915,53.871826299126,27.572448501008
"г. Минск, ул. И. Гошкевича 3",Альфа Банк,2.88,2.915,53.839930928142,27.568817437736
"г. Минск, ул. Камайская,3,(Джили)",Альфа Банк,2.88,2.915,53.932392648481,27.464771920107
"г. Минск, ул. Притыцкого, д. 156/1-1",Альфа Банк,2.88,2.915,53.908819,27.430749
"г. Минск, ул. В. Хоружей, 6 Б (Торговый центр ""Зеркало"", 1-ый этаж, отдельный вход со стороны ТЦ ""Импульс"", рядом станция метро ""Пл.Я.Коласа"")",Банк Дабрабыт,2.89,2.915,53.9188,27.58
"г. Минск, пр. Партизанский, 46",Банк Дабрабыт,2.89,2.915,53.8753,27.6237
"г. Минск, ул. Лобанка, 22 (ст. метро Каменная Горка)",Банк Дабрабыт,2.89,2.915,53.901655827999,27.434233739428
"г. Минск, пр. Независимости, 185",Банк Дабрабыт,2.89,2.915,53.9476,27.6929
"г. Минск, ул. Есенина, 30 (на пересечении с ул. Космонавтов)",Банк Дабрабыт,2.89,2.915,53.8517,27.456
"г. Минск, ул. Романовская Слобода, 5",Белгазпромбанк,2.89,2.915,53.902478,27.54637
"г. Минск, ул. Богдановича, 116",Белгазпромбанк,2.89,2.915,53.934958545438,27.582307469677
"г. Минск, ул. Маяковского,15",Белгазпромбанк,2.89,2.915,53.882473,27.568736
"г. Минск, пр.Независимости, 117А (ТРЦ «Александров Пассаж»)",Белгазпромбанк,2.89,2.915,53.931402806001,27.63745460218
"г. Минск, ул. Куприянова, 2 «А» (Автосалон «Шкода»)",Белгазпромбанк,2.89,2.915,53.9003,27.5227
"г. Минск, ул. Тимирязева, 70",Белгазпромбанк,2.89,2.915,53.923630307101,27.512753110114
"г. Минск, пр-т Независимости, 6",Белгазпромбанк,2.89,2.915,53.894612,27.548096
"г. Минск, пр-т Дзержинского, 104, БЦ «Титан» (башня C)",Белгазпромбанк,2.89,2.915,53.861872,27.480399
"г. Минск, пр. Машерова, 29",Белинвестбанк,2.885,2.915,53.916782,27.555758
"г. Минск, пр. Независимости, 164-8Н",Белинвестбанк,2.885,2.915,53.943944,27.686499
"г. Минск, ул. Коржа, 11а",Белинвестбанк,2.885,2.915,53.895374,27.519776
"г. Минск, ул. Бобруйская, 9",Белинвестбанк,2.885,2.915,53.892405,27.546924
"г. Минск, ул. Я.Чечота, 11-196а",Белинвестбанк,2.885,2.915,53.849429,27.480569
"г. Минск, пр. Пушкина, 81-2н",Белинвестбанк,2.885,2.915,53.9212,27.4985
"г. Минск, пр. Независимости, 21 (ОАО ""Гум"")",Белинвестбанк,2.885,2.915,53.9005,27.558
"г. Минск, ул. Жилуновича, 4 (Универмаг ""Беларусь"" 2 этаж)",Белинвестбанк,2.885,2.915,53.8765,27.6303
"г. Минск, ул. Карла Маркса, 33-4Н, 8Н (вход со стороны ул.Ленина)",Белинвестбанк,2.885,2.915,53.899259160549,27.559845856147
"г. Минск, ул. Коллекторная, 11-2",Белинвестбанк,2.885,2.915,53.900321,27.542293
"г. Минск, ул. Могилевская, 5-14",Белинвестбанк,2.885,2.915,53.884206,27.539786
"г. Минск, ул.Богдановича,153",Белинвестбанк,2.885,2.915,53.935352,27.579815
"г. Минск, ул.Маяковского, 11 - 196",Белинвестбанк,2.885,2.915,53.883389,27.569098
"г. Минск, ул. Плеханова, 91",Белинвестбанк,2.885,2.915,53.861278,27.603755
"г. Минск, ул. Притыцкого, 93 (ТЦ ""Алми"")",Белинвестбанк,2.885,2.915,53.905923,27.439903
"г. Минск, пр. Независимости, 54 (на лестничной площадке 3-го этажа универмага ""ЦУМ"")",Белинвестбанк,2.885,2.915,53.916313,27.585861
"г. Минск, пр-т Дзержинского, 100 (ТЦ ""Кирмаш"")",Белинвестбанк,2.885,2.915,53.863593,27.482474
