id,bank_org,address,coords,exchange_rates
-2342627086135953743,МТБанк,"г. Минск, ул. Кунцевщина, 2а","53.907604376745,27.436975907073","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.865""}]"
8040317935710553501,МТБанк,"г. Минск, ул. Уманская, 54, ТЦ «Глобо», 1 этаж","53.874532,27.498716","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.87""}]"
4057400768077599700,МТБанк,"г. Минск, пр-т Рокоссовского, 80 (микрорайон «Серебрянка»)","53.863189,27.603813","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.87""}]"
1934240861186818780,МТБанк,"г. Минск, пр-т Партизанский 79 (ТЦ “Prizma”)","53.874579767577,27.630109229497","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.865""}]"
2960090214012155784,МТБанк,"г. Минск, пр-т Партизанский, 150а (ТЦ МОМО)","53.859478223834,27.674203890213","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.87""}]"
2838304754621869281,МТБанк,"г. Минск, ул. Петра Мстиславца, 11 (ТРЦ ""DANA MALL"", 2 этаж, около магазина ZARA)","53.933608,27.652157","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.87""}]"
-42287336213920947,МТБанк,"г. Минск, ул. Свислочская, 9 (Обменный пункт в Автоцентре)","53.849881555131,27.647897887872","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.87""}]"
4052527766236744149,МТБанк,"г. Минск, ул. Притыцкого, 26","53.910956,27.49753","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.865""}]"
1001508264680404259,МТБанк,"г. Минск, пр-т Дзержинского, 122","53.851429945036,27.474332076057","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.87""}]"
-5422819079860035823,МТБанк,"г. Минск, ул. Толстого, 10, БЦ «Titul»","53.888380274332,27.544253084656","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.87""}]"
