id,bank_org,address,coords,exchange_rates
-6067949975733898945,Паритетбанк,"г. Минск, Боровлянский сельсовет 74","53.964287,27.623771","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
-5988679301521124788,Паритетбанк,"г. Минск, улица Притыцкого 97 - 463","53.90595,27.43655","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
4775106045025880881,Паритетбанк,"г. Минск, проспект Мира 4","53.870304,27.547108","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
-3474363639766591941,Паритетбанк,"г. Минск, улица Братская 18","53.867179,27.548504","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
2158011812587022527,Паритетбанк,"г. Минск, улица Братская 18","53.867199,27.548554","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
-7631526846057597837,Банк РРБ,"г. Минск, ул. Бобруйская, 6 (ТРЦ Galileo)","53.890128,27.554689","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.897""}]"
-1614984577365368601,БНБ-Банк,"г. Минск, ул. Маяковского, 6 (ТЦ «Червенский»)","53.884662,27.56573","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.9095""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8905""}]"
6254665360471556873,БНБ-Банк,"Минск, пр-т. Партизанский, 182 (ТЦ «Green-Шабаны»)","53.84894,27.699067","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.9095""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8905""}]"
3534962443408360530,БНБ-Банк,"Минск, ул. Уборевича, 176 (ТЦ «Green-Чижовка»)","53.835584,27.606082","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.9095""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8905""}]"
410722684030929972,БСБ Банк,"г.Минск, Тимирязева ул., 67","53.925193,27.50835","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.88""}]"
3644289192673425661,БСБ Банк,"г.Минск, Купалы ул., 25","53.905529,27.561406","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.86""}]"
-3160610662020158131,БСБ Банк,"г.Минск, П. Глебки ул., 5","53.908576,27.469576","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.88""}]"
5274151290959362450,МТБанк,"г. Минск, ул. Уманская, 54 (ТЦ ""Глобо"")","53.874918,27.498212","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
-1967540761212469007,МТБанк,"г. Минск, ул. Уманская, 54, ТЦ «Глобо», 1 этаж","53.874532,27.498716","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
9030375378061181172,МТБанк,"г. Минск, пр-т Партизанский 79 (ТЦ “Prizma”)","53.874579767577,27.630109229497","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
6139696808317069201,МТБанк,"г. Минск, пр-т Партизанский, 150а (ТЦ МОМО)","53.859478223834,27.674203890213","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
-6761568008796976048,МТБанк,"г. Минск, ул. Бобруйская, 6 (ТЦ ""Galileo"", 3-й этаж)","53.89020145635,27.554396457999","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
5141842728692204206,МТБанк,"г. Минск, пр-т Победителей, 65","53.926266,27.517472","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
7984196669083495448,МТБанк,"Минский район, пересечение Логойского тракта и МКАД (ТРЦ «EXPOBEL»)","53.964443,27.624021","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
5216784726830525240,МТБанк,"г. Минск, ул. Кальварийская, 24","53.908039,27.527327","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
-5422426054629923511,МТБанк,"г. Минск, ул. Казимировская, 6 (магазин Евроопт)","53.917538,27.429321","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
8238288762498214537,МТБанк,"г. Минск, ул. Уборевича, 176","53.835584,27.606082","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
-5311699410696924694,МТБанк,"г. Минск, пр-т Партизанский, 182 (GREEN)","53.84894,27.699067","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
